Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
What is the MOST efficient way to load streaming data into Snowflake?,multiple-choice,A. Use the COPY command.,B. Use Snowpipe.,C. Use the Load Data Wizard.,D. Use tasks and streams.,,,,,,,,,,,,2,"Correct
The MOST efficient way to load streaming data into Snowflake is to use Snowpipe (option B). Snowpipe is a native, automated data ingestion service within Snowflake that can continuously load data from various sources in near real-time.",
Which COPY INTO statement accurately describes how to unload data from a Snowflake table?,multiple-choice,A. The default value for the SINGLE option is set to TRUE.,"B. By default, COPY INTO [location] statements do not separate table data into a set of output files.",C. The OBJECT_CONSTRUCT function can be combined with the COPY command to convert the rows in a relational table to a single VARIANT column.,"D. If the COMPRESSION option is set to TRUE, a file's name can be specified with the appropriate file extension so that the output file can be compressed.",,,,,,,,,,,,3,"""You can use the OBJECT_CONSTRUCT function combined with the COPY command to convert the rows in a relational table to a single VARIANT column and unload the rows into a file."" https://docs.snowflake.com/en/user-guide/data-unload-considerations
COMPRESSION option can't be set to TRUE  -- If FILE_FORMAT = ( TYPE = CSV ... )  COMPRESSION = AUTO | GZIP | BZ2 | BROTLI | ZSTD | DEFLATE | RAW_DEFLATE | NONE  -- If FILE_FORMAT = ( TYPE = JSON ... )  COMPRESSION = AUTO | GZIP | BZ2 | BROTLI | ZSTD | DEFLATE | RAW_DEFLATE | NONE  -- If FILE_FORMAT = ( TYPE = PARQUET ... )  COMPRESSION = AUTO | LZO | SNAPPY | NONE https://docs.snowflake.com/en/sql-reference/sql/copy-into-location",
What command is used to download data from a Snowflake stage?,multiple-choice,A. PUT,B. INSERT,C. GET,D. COPY,,,,,,,,,,,,3,"GET Downloads data files from one of the following Snowflake stages to a local directory/folder on a client machine:  Named internal stage.  Internal stage for a specified table.  Internal stage for the current user.  Typically, this command is executed after using the COPY INTO <location> command to unload data from a table into a Snowflake stage.",
"By default, which role has privileges to create tables and views in an account?",multiple-choice,A. PUBLIC,B. SECURITYADMIN,C. SYSADMIN,D. USERADMIN,,,,,,,,,,,,3,"The SYSADMIN role is a system-defined role that has privileges to create warehouses, databases, and database objects in an account and grant those privileges to other roles.  https://docs.snowflake.com/en/user-guide/security-access-control-configure#creating-a-role-hierarchy
Correct",
What does Snowflake recommend as a best practice for using secure views?,multiple-choice,A. Use sequence-generated values.,B. Programmatically reveal the identifiers.,C. Use secure views solely for query convenience.,D. Do not expose the sequence-generated column(s).,,,,,,,,,,,,4,"Sequence-generated Columns Do not expose the sequence-generated column as part of the view.
A is Answer .. https://docs.snowflake.com/en/user-guide/views-secure",
What is the Fail-safe period for a transient table in the Snowflake Enterprise edition and higher?,multiple-choice,A. 0 days,B. 1 day,C. 7 days,D. 14 days,,,,,,,,,,,,1,"Temporary and Transient Tables¶ To help manage the storage costs associated with Time Travel and Fail-safe, Snowflake provides two table types, temporary and transient, which do not incur the same fees as standard (i.e. permanent) tables:  Transient tables can have a Time Travel retention period of either 0 or 1 day.  Temporary tables can also have a Time Travel retention period of 0 or 1 day; however, this retention period ends as soon as the table is dropped or the session in which the table was created ends.  Transient and temporary tables have no Fail-safe period.  As a result, the maximum
https://docs.snowflake.com/en/user-guide/tables-temp-transient Transient tables are similar to permanent tables with the key difference that they do not have a Fail-safe period",
How does a Snowflake user enable Multi-Factor Authentication (MFA)?,multiple-choice,A. The user must enroll themselves through the web interface.,B. The user must submit their encrypted private key to Snowflake.,C. The user must sign up with Duo Mobile for approval to use the service.,D. The user must configure Snowflake to use Single Sign-On (SSO).,,,,,,,,,,,,1,"A is correct. https://docs.snowflake.com/en/user-guide/security-mfa
https://docs.snowflake.com/en/user-guide/security-mfa#:~:text=Any%20Snowflake%20user%20can%20self%2Denroll%20in%20MFA%20through%20the%20web%20interface.",
What allows a user to limit the number of credits consumed within a Snowflake account?,multiple-choice,A. Tracking account usage,B. Creating resource monitors,C. Automatic virtual warehouse scaling,D. Automatic clustering,,,,,,,,,,,,2,"B correct
B - Resource monitor
Correct answer b",
Which statement accurately describes Snowflake's architecture?,multiple-choice,A. It uses a local data repository for all compute nodes in the platform.,B. It is a blend of shared-disk and shared-everything database architectures.,C. It is a hybrid of traditional shared-disk and shared-nothing database architectures.,"D. It reorganizes loaded data into internal optimized, compressed, and row-based format.",,,,,,,,,,,,3,"Snowflake Architecture Snowflake’s architecture is a hybrid of traditional shared-disk and shared-nothing database architectures. Similar to shared-disk architectures, Snowflake uses a central data repository for persisted data that is accessible from all compute nodes in the platform. But similar to shared-nothing architectures, Snowflake processes queries using MPP (massively parallel processing) compute clusters where each node in the cluster stores a portion of the entire data set locally. This approach offers the data management simplicity of a shared-disk architecture, but with the performance and scale-out benefits of a shared-nothing architecture.  https://docs.snowflake.com/en/user-guide/intro-key-concepts
Correct
Snowflake architecture base question",
Which Snowflake SQL command is used to get a subset of rows randomly from a table?,multiple-choice,A. GENERATOR,B. LATERAL,C. PIVOT,D. SAMPLE,,,,,,,,,,,,4,"D is correct
Correct -- D https://docs.snowflake.com/en/sql-reference/constructs/sample",
Which statement accurately describes how a virtual warehouse functions?,multiple-choice,A. Increasing the size of a virtual warehouse will always improve data loading performance.,B. Each virtual warehouse is an independent compute cluster that shares compute resources with other warehouses.,C. Each virtual warehouse is a compute cluster composed of multiple compute nodes allocated by Snowflake from a cloud provider.,D. All virtual warehouses share the same compute resources so performance degradation of one warehouse can significantly affect all the other warehouses.,,,,,,,,,,,,3,"https://docs.snowflake.com/en/user-guide/intro-key-concepts  Query Processing Query execution is performed in the processing layer. Snowflake processes queries using “virtual warehouses”. Each virtual warehouse is an MPP compute cluster composed of multiple compute nodes allocated by Snowflake from a cloud provider.
C is correct.",
Which Snowflake object can be used to record DML changes made to a table?,multiple-choice,A. Snowpipe,B. Stage,C. Stream,D. Task,,,,,,,,,,,,3,"A stream object records data manipulation language (DML) changes made to tables, including inserts, updates, and deletes, as well as metadata about each change, so that actions can be taken using the changed data.
https://docs.snowflake.com/en/user-guide/streams",
Which statistic displayed in a Query Profile is specific to external functions?,multiple-choice,A. Bytes written,B. Total invocations,C. Partitions scanned,D. Bytes sent over the network,,,,,,,,,,,,2,"for sure B total invocations
The following statistics are shown for each external function called by the SQL statement. If the same function was called more than once from the same SQL statement, then the statistics are aggregated.  Total invocations — number of times that an external function was called. (This can be different from the number of external function calls in the text of the SQL statement due to the number of batches that rows are divided into, the number of retries (if there are transient network problems), etc.)
https://docs.snowflake.com/en/user-guide/ui-query-profile",
"If there is queueing in the virtual warehouse load monitoring chart, what should a Snowflake user do?",multiple-choice,A. Decrease the warehouse size.,B. Decrease the MIN_CLUSTER_COUNT parameter.,C. Change the multi-cluster settings to add additional clusters.,D. Start a separate warehouse and move queued queries there.,,,,,,,,,,,,3,"We don't have information about Snowflake edition. For Standard edition we don't have option with multi-cluster.
It's queuing issue hence you dont need new warehouse but need additional clusters within same warehouse. And as queries are already in system hence can't move queries to new warehouse without killing and resubmitting.
Both C & D are correct. C: If the running query load is high or there’s queuing, consider starting a separate warehouse and moving queued queries to that warehouse. D: Alternatively, if you are using multi-cluster warehouses, you could change your multi-cluster settings to add additional clusters to handle higher concurrency going forward.
https://docs.snowflake.com/en/user-guide/warehouses-load-monitoring  Slow Query Performance When you notice that a query is running slowly, check whether an overloaded warehouse is causing the query to compete for resources or get queued:  If the running query load is high or there’s queuing, consider starting a separate warehouse and moving queued queries to that warehouse. Alternatively, if you are using multi-cluster warehouses, you could change your multi-cluster settings to add additional clusters to handle higher concurrency going forward.",
"Which command is used to generate a zero-copy ""snapshot"" of any table, schema, or database?",multiple-choice,A.,B.,C.,D.,,,,,,,,,,,,2,"Create... clone is the correct answer.
https://docs.snowflake.com/en/sql-reference/sql/create-clone",
How long is the load history stored in the metadata of the pipe in Snowpipe?,multiple-choice,A. 2 days,B. 7 days,C. 14 days,D. 64 days,,,,,,,,,,,,3,C correct,
What are the key characteristics of ACСOUNT_USAGE views? (Choose two.),multi-select,A. There is no data latency.,B. The data latency can vary from 45 minutes to 3 hours.,C. The historical data is not retained.,D. The historical data can be retained from 7 days to 6 months.,E. Records for dropped objects are included in each view.,,,,,,,,,,,"2, 5","BE is right
B E correct
https://docs.snowflake.com/en/sql-reference/account-usage#differences-between-account-usage-and-information-schema
https://docs.snowflake.com/en/sql-reference/account-usage#differences-between-account-usage-and-information-schema BE is correct",
How does a scoped URL expire?,multiple-choice,A. When the data cache clears.,B. When the persisted query result period ends.,C. The encoded URL access is permanent.,D. The length of time is specified in the expiration_time argument.,,,,,,,,,,,,2,"B The expiration period of Scoped URL: The URL expires when the persisted query result period ends.  The expiration period of the File URL: It is permanent.  The expiration period of Pre-Signed URL: Length of time specified in the expiration_time argument.
Expiration  Expiration period for the query results cache (currently 24 hours). https://docs.snowflake.com/en/user-guide/unstructured-intro",
What are the available Snowflake scaling modes for configuring multi-cluster virtual warehouses? (Choose two.),multi-select,A. Auto-Scale,B. Economy,C. Maximized,D. Scale-Out,E. Standard,,,,,,,,,,,"1, 3","https://docs.snowflake.com/en/user-guide/warehouses-multicluster#maximized-vs-auto-scale
AC is Correct. Note, that there are Scaling Policies called ""Economy"" and ""Standard"" in ""Auto-Scale"" mode.
https://hevodata.com/learn/snowflake-scaling-policy/",
Which loop type iterates until a condition is true?,multiple-choice,A. FOR,B. LOOP,C. REPEAT,D. WHILE,,,,,,,,,,,,3,"The WHILE loop checks the condition before each iteration, so if the condition is not met initially, the loop will not execute at all. On the other hand, the REPEAT loop (or DO...WHILE loop) checks the condition after executing the loop's body, ensuring that the loop runs at least once regardless of the condition.
cccccc
A REPEAT loop iterates until a condition is true. In a REPEAT loop, the condition is tested immediately after executing the body of the loop. As a result, the body of the loop always executes at least once.  A WHILE loop iterates while a condition is true. In a WHILE loop, the condition is tested immediately before executing the body of the loop. If the condition is false before the first iteration, then the body of the loop does not execute even once.
https://docs.snowflake.com/en/developer-guide/snowflake-scripting/loops",
Which property needs to be added to the ALTER WAREHOUSE command to verify the additional compute resources for a virtual warehouse have been fully provisioned?,multiple-choice,A. QUERY_ACCELERATION_MAX_SCALE_FACTOR,B. RESOURCE_MONITOR,C. SCALING_POLICY,D. WAIT_FOR_COMPLETION,,,,,,,,,,,,4,"D correct
Correct
https://docs.snowflake.com/en/user-guide/warehouses-tasks
https://docs.snowflake.com/en/user-guide/warehouses-tasks#:~:text=To%20verify%20the%20additional%20compute%20resources%20for%20your%20warehouse%20have%20been%20fully%20provisioned%2C%20add%20the%20WAIT_FOR_COMPLETION%20parameter%20to%20the%20ALTER%20WAREHOUSE%20command.",
How is enhanced authentication achieved in Snowflake? (Choose two.),multi-select,B. Snowflake-managed keys,C. Object level access control,D. Multi-Factor Authentication (MFA),E. Federated authentication and Single Sign-On (SSO),,,,,,,,,,,,"4, 5","Correct
Wondering where does answer A go
Correct -- DE https://docs.snowflake.com/guides-overview-secure",
What are the native data types that Snowflake provides to store semi-structured data? (Choose two.),multi-select,A. ARRAY,B. JSON,C. ORC,D. Parquet,E. VARIANT,,,,,,,,,,,"1, 5","The question is about data type not file type
Snowflake provides built-in support for importing data from (and exporting data to) the following semi-structured data formats: JSON Avro ORC Parquet XML Snowflake provides native data types (ARRAY, OBJECT, and VARIANT) for storing semi-structured data.",
How long is the Fail-safe period for recovering historical data from permanent tables?,multiple-choice,A. 1 day,B. 3 days,C. 7 days,D. 14 days,,,,,,,,,,,,3,"Correct
https://docs.snowflake.com/en/user-guide/data-failsafe",
What does the average_overlaps in the output of SYSTEM$CLUSTERING_INFORMATION refer to?,multiple-choice,A. The average number of micro-partitions stored in Time Travel.,B. The average number of partitions physically stored in the same location.,C. The average number of micro-partitions which contain overlapping value ranges.,D. The average number of micro-partitions in the table associated with cloned objects.,,,,,,,,,,,,3,"C correct
Correct
https://docs.snowflake.com/en/sql-reference/functions/system_clustering_information",
If queries start to queue in a multi-cluster virtual warehouse an additional compute cluster starts immediately under what setting?,multiple-choice,A. Auto-scale mode,B. Maximized mode,C. Economy scaling policy,D. Standard scaling policy,,,,,,,,,,,,4,"D correct
Correct
D https://docs.snowflake.com/en/user-guide/warehouses-multicluster Standard (default)  Prevents/minimizes queuing by favoring starting additional clusters over conserving credits.",
"When floating-point number columns are unloaded to CSV or JSON files, Snowflake truncates the values to approximately what?",multiple-choice,"A. (12,2)","B. (10,4)","C. (14,8)","D. (15,9)",,,,,,,,,,,,4,"When floating-point number columns are unloaded to CSV or JSON files, Snowflake truncates the values to approximately (15,9).  The values are not truncated when unloading floating-point number columns to Parquet files.
D Correct: https://docs.snowflake.com/en/user-guide/data-unload-considerations
https://docs.snowflake.com/en/user-guide/data-unload-considerations#:~:text=When%20floating%2Dpoint%20number%20columns%20are%20unloaded%20to%20CSV%20or%20JSON%20files%2C%20Snowflake%20truncates%20the%20values%20to%20approximately%20(15%2C9).",
"By definition, a secure view is exposed only to users with what privilege?",multiple-choice,A. IMPORT SHARE,B. OWNERSHIP,C. REFERENCES,D. USAGE,,,,,,,,,,,,2,"B is correct
B The definition of a secure view is only exposed to authorized users (i.e. users who have been granted the role that owns the view).
https://www.bing.com/search?q=By+definition%2C+a+secure+view+is+exposed+only+to+users+with+what+privilege%3F&qs=n&form=QBRE&sp=-1&lq=1&pq=by+definition%2C+a+secure+view+is+exposed+only+to+users+with+what+privilege%3F&sc=1-74&sk=&cvid=0C736B21938E4126ABA51B4764C220F0&ghsh=0&ghacc=0&ghpl=",
What happens when a user exits Snowsight during a session that a query is running?,multiple-choice,A. Snowflake executes the query during the same session immediately.,B. Snowflake cancels any queries submitted during this session that are still running.,C. Snowflake will cancel any queries submitted during this session after 24 hours.,D. Snowflake will continue to execute and complete upon the next login.,,,,,,,,,,,,4,"B Correct: When you exit Snowsight, Snowflake cancels any queries that you submitted during this session that are still running.  https://docs.snowflake.com/en/user-guide/ui-snowsight-quick-tour
This is confusing. https://docs.snowflake.com/en/user-guide/session-policies --> Caution Active queries are not canceled when the session ends and the user is logged out, even if the ABORT_DETACHED_QUERY parameter is set to true.  https://docs.snowflake.com/en/user-guide/ui-snowsight-quick-tour --> Important: When you exit Snowsight, Snowflake cancels any queries that you submitted during this session that are still running.",
Which columns are available in the output of a Snowflake directory table? (Choose two.),multi-select,A. CATALOG_NAME,B. FILE_NAME,C. LAST_MODIFIED,D. RELATIVE_PATH,E. STAGE_NAME,,,,,,,,,,,"3, 4","acc. to https://docs.snowflake.com/en/user-guide/data-load-dirtables-query
Hi. Can you paste the link where you saw the FILE_NAME? wanted to ensure if its in older version of Snowflake. https://docs.snowflake.com/en/user-guide/data-load-dirtables-manage#output clearly mentions the columns.",
What is used to diagnose and troubleshoot network connections to Snowflake?,multiple-choice,A. SnowCD,B. Snowpark,C. Snowsight,D. SnowSQL,,,,,,,,,,,,1,SnowCD (i.e. Snowflake Connectivity Diagnostic Tool) helps users to diagnose and troubleshoot their network connection to Snowflake.,
What Snowflake object records Data Manipulation Language (DML) changes so that actions can be taken using the changed data?,multiple-choice,A. Pipe,B. Stream,C. Task,D. View,,,,,,,,,,,,2,"B is correct
for sure ""Stream""",
"By default, the COPY INTO [location] statement will separate table data into a set of output files to take advantage of which Snowflake feature?",multiple-choice,A. Query acceleration,B. Query plan caching,C. Parallel processing,D. Time Travel,,,,,,,,,,,,3,"C is correct
C:  By default, the COPY INTO statement will separate table data into a set of output files to take advantage of Snowflake's parallel processing feature. This means that when data is unloaded, it can be split into multiple files and each file can be processed simultaneously by different nodes in the cluster, improving performance. The number of output files can be controlled by specifying the number of file parts in the COPY INTO statement.",
Which command can be used to view the allowed and blocked IP list of a network policy?,multiple-choice,A. ALTER NETWORK POLICY,B. CREATE NETWORK POLICY,C. DESCRIBE NETWORK POLICY,D. SHOW NETWORK POLICIES,,,,,,,,,,,,3,. DESCRIBE NETWORK POLICY is correct DESC NETWORK POLICY mypolicy;  -----------------+---------------+  name | value | -----------------+---------------+  ALLOWED_IP_LIST | 192.168.0.100 |  BLOCKED_IP_LIST | 192.168.0.101 | -----------------+---------------+,
Which file functions are non-deterministic? (Choose two.),multi-select,A. BUILD_SCOPED_FILE_URL,B. BUILD_STAGE_FILE_URL,C. GET_ABSOLUTE_PATH,D. GET_PRESIGNED_URL,E. GET_RELATIVE_PATH,,,,,,,,,,,"1, 4","AD BUILD_SCOPED_FILE_URL encodes the URL. GET_PRESIGNED_URL adds credentials to the URL. These are both non-deterministic.
correct answer - BD https://docs.snowflake.com/en/sql-reference/functions-file GET_PRESIGNED_URL and BUILD_SCOPED_FILE_URL are non-deterministic functions; the others are deterministic.",
How can a Snowflake user optimize query performance in Snowflake? (Choose two.),multi-select,A. Create a view.,B. Cluster a table.,C. Enable the search optimization service.,D. Enable Time Travel.,E. Index a table.,,,,,,,,,,,"2, 3","The correct answers are B and C.  Clustering a table physically reorders the rows in a table to improve the performance of queries that filter on specific columns. The search optimization service creates a search index for a table, which can be used to improve the performance of queries that filter on specific columns.  Creating a view does not improve query performance. Enabling Time Travel allows you to query data from a specific point in time, but it does not improve query performance. Indexing a table creates an index that can be used to improve the performance of queries, but it is not as effective as clustering or the search optimization service.",
What is the MINIMUM role required to set the value for the parameter ENABLE_ACCOUNT_DATABASE_REPLICATION?,multiple-choice,A. ACCOUNTADMIN,B. SECURITYADMIN,C. SYSADMIN,D. ORGADMIN,,,,,,,,,,,,4,"https://docs.snowflake.com/en/user-guide/account-replication-config#label-enabling-accounts-for-replication To enable replication for accounts, a user with the ORGADMIN role uses the SYSTEM$GLOBAL_ACCOUNT_SET_PARAMETER function to set the ENABLE_ACCOUNT_DATABASE_REPLICATION parameter to true. Note that multiple accounts in an organization can be enabled for replication from the same ORGADMIN account.
its ORG AdMIN
The organization administrator (ORGADMIN role) must enable replication for the source and target accounts before replicating a database  https://docs.snowflake.com/en/user-guide/database-replication-config#",
Which file format will keep floating-point numbers from being truncated when data is unloaded?,multiple-choice,A. CSV,B. JSON,C. ORC,D. Parquet,,,,,,,,,,,,4,"https://docs.snowflake.com/en/user-guide/data-unload-considerations#floating-point-numbers-truncated The values are not truncated when unloading floating-point number columns to Parquet files.
https://community.snowflake.com/s/article/Data-precision-loss-with-Double-Float-REAL-Snowflake-Data-type-with-unloading",
"A user has semi-structured data to load into Snowflake but is not sure what types of operations will need to be performed on the data.

Based on this situation, what type of column does Snowflake recommend be used?",multiple-choice,A. ARRAY,B. OBJECT,C. TEXT,D. VARIANT,,,,,,,,,,,,4,Correct because its key value pair,
Which Snowflake object helps evaluate virtual warehouse performance impacted by query queuing?,multiple-choice,A. Resource monitor,B. Account_usage.query_history,C. Information_schema.warehouse_load_history,D. Information_schema.warehouse_metering_history,,,,,,,,,,,,2,"warehouse_load_history
The user is referring to this in particular:  Query History: It keeps a record of all queries executed in your Snowflake account. This allows you to analyze the performance of individual queries, including their execution time, number of rows processed, etc. However, it does not provide specific information on the impact of query queuing on virtual warehouse performance. WAREHOUSE_LOAD_HISTORY: This system view provides specific information on the usage of the virtual warehouse, including the wait times of queries in the queue. This allows you to evaluate the impact of query queuing on virtual warehouse performance by providing data on warehouse load and usage. So, if you want to assess the impact of query queuing on virtual warehouse performance, the WAREHOUSE_LOAD_HISTORY view would be more appropriate. If you want to examine the performance of individual queries as a whole, then Query History would be more relevant
https://docs.snowflake.com/en/user-guide/warehouses-load-monitoring
Even C seems to be correct. But, the Query History provides more information than the Load history.  AVG_QUEUED_LOAD. Query load value for queries queued because the warehouse was overloaded. https://docs.snowflake.com/en/sql-reference/account-usage/warehouse_load_history",
Which Snowflake object can be created to be temporary?,multiple-choice,A. Role,B. Stage,C. User,D. Storage integration,,,,,,,,,,,,2,"The stage can be created to be temporary by adding a TEMP parameter. CREATE TEMP STAGE
https://www.bing.com/search?q=snowflake+temporary+stage&cvid=998cb1d21c5d48bdb3a7dae1885e147f&aqs=edge.2.0j69i57j0l7j69i11004.11917j0j4&FORM=ANAB01&PC=U531",
Which stream type can be used for tracking the records in external tables?,multiple-choice,A. Append-only,B. External,C. Insert-only,D. Standard,,,,,,,,,,,,3,"C. Insert-only : Supported for streams on external tables only.  https://docs.snowflake.com/en/user-guide/streams-intro
Insert-only: Supported for streams on external tables only.   https://docs.snowflake.com/en/user-guide/streams-intro",
What is the recommended approach for unloading data to a cloud storage location from Snowflake?,multiple-choice,A. Use a third-party tool to unload the data to cloud storage.,B. Unload the data directly to the cloud storage location.,"C. Unload the data to a local file system, then upload it to cloud storage.","D. Unload the data to a user stage, then upload the data to cloud storage",,,,,,,,,,,,2,"B. Unload the data directly to the cloud storage location, which is an External Stage.
This tricky the precise answer is unload to an external stage in the cloud first.",
Which command is used to unload files from an internal or external stage to a local file system?,multiple-choice,A. COPY INTO,B. GET,C. PUT,D. TRANSFER,,,,,,,,,,,,2,"B. GET: https://docs.snowflake.com/en/user-guide/data-unload-snowflake.  Table -> Copy into -> Stage -> Get -> Local File System
If I had to choose, I would choose B. COPY INTO - is used to unload data into either internal or external stage, then we use GET to download files from INTERNAL stage into local system, or we use tools provided by external provider to download files.  ""Bulk unloading process The process for unloading data into files is the same as the loading process, except in reverse: Step 1 Use the COPY INTO <location> command to copy the data from the Snowflake database table into one or more files in a Snowflake or external stage. Step 2 Download the file from the stage:  From a Snowflake stage, use the GET command to download the data file(s).  From S3, use the interfaces/tools provided by Amazon S3 to get the data file(s).  From Azure, use the interfaces/tools provided by Microsoft Azure to get the data file(s)."" https://docs.snowflake.com/en/user-guide/data-unload-overview  ChatGPT says you can download files from external stage through SnowSQL by using GET command.",
A tabular User-Defined Function (UDF) is defined by specifying a return clause that contains which keyword?,multiple-choice,A. ROW_NUMBER,B. TABLE,C. TABULAR,D. VALUES,,,,,,,,,,,,2,"CREATE FUNCTION t()  RETURNS TABLE(msg VARCHAR)  AS  $$  SELECT 'Hello'  UNION  SELECT 'World'  $$;
B https://docs.snowflake.com/en/developer-guide/udf/sql/udf-sql-tabular-functions",
Which SQL statement will require a virtual warehouse to run?,multiple-choice,A. SELECT COUNT(*) FROM TBL_EMPLOYEE;,B. ALTER TABLE TBL_EMPLOYEE ADD COLUMN EMP_REGION VARCHAR(20);,"C. INSERT INTO TBL_EMPLOYEE(EMP_ID, EMP_NAME, EMP_SALARY, DEPT) VALUES(1, 'Adam', 20000, 'Finance’);","D. CREATE OR REPLACE TABLE TBL_EMPLOYEE
(
EMP_ID NUMBER,
EMP_NAME VARCHAR(30),
EMP_SALARY NUMBER,
DEPT VARCHAR(20)
);",,,,,,,,,,,,3,"A warehouse provides the required resources, such as CPU, memory, and temporary storage, to perform the following operations in a Snowflake session:   Executing SQL SELECT statements that require compute resources (e.g. retrieving rows from tables and views).   Performing DML operations, such as:   Updating rows in tables (DELETE , INSERT , UPDATE).   Loading data into tables (COPY INTO <table>).   Unloading data from tables (COPY INTO <location>).",
Which REST API can be used with unstructured data?,multiple-choice,A. insertFiles,B. insertReport,C. GET /api/files/,D. loadHistoryScan,,,,,,,,,,,,3,"https://docs.snowflake.com/en/user-guide/data-load-unstructured-rest-api
The insertFiles API can be used to upload and insert unstructured data files into Snowflake. This is typically used for loading various types of unstructured data, such as JSON, XML, CSV, and more, into Snowflake for further processing or analysis.",
Which query contains a Snowflake hosted file URL in a directory table for a stage named bronzestage?,multiple-choice,A. list @bronzestage;,B. select * from directory(@bronzestage);,C. select metadata$filename from @bronzestage;,D. select * from table(information_schema.stage_directory_file_registration_history( stage_name=>'bronzestage'));,,,,,,,,,,,,2,"Querying directory tables This topic covers how to query a directory table to retrieve a list of all files on a stage with metadata, such as the Snowflake file URL, for each file. SELECT * FROM DIRECTORY( @<stage_name> )  https://docs.snowflake.com/en/user-guide/data-load-dirtables-query
FILE_URL -Snowflake-hosted file URL to the file.  https://docs.snowflake.com/en/user-guide/data-load-dirtables-manage",
Which feature is integrated to support Multi-Factor Authentication (MFA) at Snowflake?,multiple-choice,A. Authy,B. Duo Security,C. One Login,D. RSA SecurID Access,,,,,,,,,,,,2,correct,
"In which Snowflake layer does Snowflake reorganize data into its internal optimized, compressed, columnar format?",multiple-choice,A. Cloud Services,B. Database Storage,C. Query Processing,D. Metadata Management,,,,,,,,,,,,2,"Database storage layer
correct",
When can user session variables be accessed in a Snowflake scripting procedure?,multiple-choice,A. When the procedure is defined as STRICT.,B. When the procedure is defined to execute as CALLER.,C. When the procedure is defined to execute as OWNER.,D. When the procedure is defined with an argument that has the same name and type as the session variable.,,,,,,,,,,,,2,"Using session variables in a stored procedure Session variables can only be used in a Javascript Stored Procedure when it's created with Caller rights.
https://community.snowflake.com/s/article/Using-session-variables-in-a-stored-procedure",
What computer language can be selected when creating User-Defined Functions (UDFs) using the Snowpark API?,multiple-choice,A. Swift,B. JavaScript,C. Python,D. SQL,,,,,,,,,,,,3,"Snowpark API supports: Python, Scala and Java
C Python Snowpark API supports: Python, Scala and Java
https://docs.snowflake.com/en/developer-guide/snowpark/index
Java, Python, Scala https://docs.snowflake.com/en/developer-guide/snowpark/index",
"A user needs to ingest 1 GB of data that is available in an external stage using a COPY INTO command.

How can this be done with MAXIMUM performance and the LEAST cost?",multiple-choice,A. Ingest the data in a compressed format as a single file.,B. Ingest the data in an uncompressed format as a single file.,"C. Split the file into smaller files of 100-250 MB each, compress and ingest each of the smaller files.",D. Split the file into smaller files of 100-250 MB each and ingest each of the smaller files in an uncompressed format.,,,,,,,,,,,,3,https://docs.snowflake.com/en/user-guide/data-load-considerations-prepare,
"A Snowflake user has two tables that contain numeric values and is trying to find out which values are present in both tables.

Which set operator should be used?",multiple-choice,A. INTERSECT,B. MERGE,C. MINUS,D. UNION,,,,,,,,,,,,1,"https://docs.snowflake.com/en/sql-reference/operators-query INTERSECT Returns rows from one query’s result set which also appear in another query’s result set, with duplicate elimination.
Correct",
"A view is defined on a permanent table. A temporary table with the same name is created in the same schema as the referenced table.

What will the query from the view return?",multiple-choice,A. The data from the permanent table.,B. The data from the temporary table.,C. An error stating that the view could not be compiled.,D. An error stating that the referenced object could not be uniquely identified.,,,,,,,,,,,,2,"Similar to the other table types (transient and permanent), temporary tables belong to a specified database and schema; however, because they are session-based, they aren’t bound by the same uniqueness requirements. This means you can create temporary and non-temporary tables with the same name within the same schema. However, note that the temporary table takes precedence in the session over any other table with the same name in the same schema.   https://docs.snowflake.com/en/user-guide/tables-temp-transient
Changing my answer to A - According to the documentation, when a view is defined on a permanent table, it continues to reference the permanent table even if a temporary table with the same name is created in the same schema. The view will not be affected by the temporary table.",
Which file function generates a Snowflake-hosted file URL to a staged file using the stage name and relative file path as inputs?,multiple-choice,A. BUILD_STAGE_FILE_URL,B. GET_ABSOLUTE_PATH,C. GET_RELATIVE_PATH,D. GET_STAGE_LOCATION,,,,,,,,,,,,1,https://docs.snowflake.com/en/sql-reference/functions/build_stage_file_url,
Which service or feature in Snowflake is used to improve the performance of certain types of lookup and analytical queries that use an extensive set of WHERE conditions?,multiple-choice,A. Data classification,B. Query acceleration service,C. Search optimization service,D. Tagging,,,,,,,,,,,,3,"C is correct
https://www.snowflake.com/blog/now-generally-available-snowflakes-search-optimization-service-accelerates-queries-dramatically/",
